country,year-2003
Antigua and Barbuda,1
Bosnia and Herzegovina,0
Cabo Verde,0
Dominica,0
Kiribati,0
Macau,0
Mongolia,0
Montenegro,0
Nicaragua,0
Oman,0
Saint Kitts and Nevis,0
San Marino,0
Turkey,0
Grenada,4
Barbados,0
Cyprus,0
Qatar,0
Georgia,0
United Arab Emirates,0
Jamaica,2
Maldives,4
Bahamas,1
Seychelles,8
Saint Vincent and Grenadines,4
Aruba,2
Saint Lucia,10
Belize,12
Malta,20
Bahrain,34
Iceland,26
Fiji,10
Kuwait,44
Suriname,77
Armenia,59
Luxembourg,48
Azerbaijan,129
Mauritius,88
Albania,124
Trinidad and Tobago,144
Panama,195
Guyana,198
Paraguay,174
South Africa,256
Puerto Rico,262
Guatemala,253
Costa Rica,315
Singapore,320
Greece,375
Estonia,342
Israel,417
Turkmenistan,377
El Salvador,527
Ireland,454
New Zealand,519
Norway,502
Slovenia,562
Kyrgyzstan,479
Ecuador,675
Latvia,604
Uruguay,535
Denmark,633
Slovakia,753
Croatia,865
Finland,1075
Sweden,1112
Portugal,1156
Philippines,1544
Bulgaria,1092
Switzerland,1269
Serbia,1378
Czech Republic,1719
Lithuania,1455
Austria,1456
Netherlands,1502
Uzbekistan,1416
Chile,1654
Cuba,1499
Belgium,2091
Australia,2156
Colombia,2269
Hungary,2800
Romania,2894
Argentina,3289
Belarus,3456
Spain,3478
Canada,3765
Mexico,4070
Italy,4075
United Kingdom,3979
Kazakhstan,4321
Sri Lanka,4467
Thailand,4484
Poland,5836
Brazil,7839
Republic of Korea,10898
France,10871
Germany,11155
Ukraine,12313
Japan,31881
United States,31477
Russian Federation,51445
